Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
1.83	1	0	2	-117.181
1.83	3	0	3	-75.406
1.835	1	0	2	-117.181
1.835	3	0	3	-75.406
1.839	3	0	3	-75.406
1.84	1	0	2	-117.181
1.84	3	0	3	-75.406
1.845	1	0	2	-117.181
1.845	3	0	3	-75.406
1.85	1	0	2	-117.181
1.85	3	0	3	-75.406
1.855	1	0	2	-117.181
1.855	3	0	3	-75.406
1.86	1	0	2	-117.181
1.86	3	0	3	-75.406
1.865	1	0	2	-117.181
1.865	3	0	3	-75.406
1.87	1	0	2	-117.181
1.87	3	0	3	-75.406
1.875	1	0	2	-117.181
1.875	3	0	3	-75.406
1.88	1	0	2	-117.181
1.88	3	0	3	-75.406
1.885	1	0	2	-117.181
1.885	3	0	3	-75.406
1.89	1	0	2	-117.181
1.89	3	0	3	-75.406
1.895	1	0	2	-117.181
1.895	3	0	3	-75.406
1.896	1	0	2	-117.181
1.9	1	0	2	-117.181
1.9	3	0	3	-75.406
1.905	1	0	2	-117.181
1.905	3	0	3	-75.406
1.91	1	0	2	-117.181
1.91	3	0	3	-75.406
1.915	1	0	2	-117.181
1.915	3	0	3	-75.406
1.919	3	0	3	-75.406
1.92	1	0	2	-117.181
1.92	3	0	3	-75.406
1.925	1	0	2	-117.181
1.925	3	0	3	-75.406
1.93	1	0	2	-117.181
1.93	3	0	3	-75.406
1.935	1	0	2	-117.181
1.935	3	0	3	-75.406
1.94	1	0	2	-117.181
1.94	3	0	3	-75.406
1.945	1	0	2	-117.181
1.945	3	0	3	-75.406
1.95	1	0	2	-117.181
1.95	3	0	3	-75.406
1.955	1	0	2	-117.181
1.955	3	0	3	-75.406
1.96	1	0	2	-117.181
1.96	3	0	3	-75.406
1.965	1	0	2	-117.181
1.965	3	0	3	-75.406
1.97	1	0	2	-117.181
1.97	3	0	3	-75.406
1.975	1	0	2	-117.181
1.975	3	0	3	-75.406
1.976	1	0	2	-117.181
1.98	1	0	2	-117.181
1.98	3	0	3	-75.406
1.985	1	0	2	-117.181
1.985	3	0	3	-75.406
1.99	1	0	2	-117.181
1.99	3	0	3	-75.406
1.995	1	0	2	-117.181
1.995	3	0	3	-75.406
1.999	3	0	3	-75.406
2	1	0	2	-117.181
2	3	0	3	-75.406
2.005	1	0	2	-117.181
2.005	3	0	3	-75.406
2.01	1	0	2	-117.181
2.01	3	0	3	-75.406
2.015	1	0	2	-117.181
2.015	3	0	3	-75.406
2.02	1	0	2	-117.181
2.02	3	0	3	-75.406
2.025	1	0	2	-117.181
2.025	3	0	3	-75.406
2.03	1	0	2	-117.181
2.03	3	0	3	-75.406
2.035	1	0	2	-117.181
2.035	3	0	3	-75.406
2.04	1	0	2	-117.181
2.04	3	0	3	-75.406
2.045	1	0	2	-117.181
2.045	3	0	3	-75.406
2.05	1	0	2	-117.181
2.05	3	0	3	-75.406
2.055	1	0	2	-117.181
2.055	3	0	3	-75.406
2.056	1	0	2	-117.181
2.06	1	0	2	-117.181
2.06	3	0	3	-75.406
2.065	1	0	2	-117.181
2.065	3	0	3	-75.406
2.07	1	0	2	-117.181
2.07	3	0	3	-75.406
2.075	1	0	2	-117.181
