Time	CellId	RNTI	BWPId	SINR(dB)
43.6851	1	1	0	-18.1901
43.6851	3	1	0	24.0017
43.6901	1	1	0	-18.1901
43.6901	3	1	0	24.0017
43.6951	1	1	0	-18.1901
43.6951	3	1	0	24.0017
43.7001	1	1	0	-18.1901
43.7001	3	1	0	24.0017
43.7051	1	1	0	-18.1901
43.7051	3	1	0	24.0017
43.7101	1	1	0	-18.1901
43.7101	3	1	0	24.0017
43.7151	1	1	0	-18.1901
43.7151	3	1	0	24.0017
43.7201	1	1	0	-18.1901
43.7201	3	1	0	24.0017
43.7251	1	1	0	-18.1901
43.7251	3	1	0	24.0017
43.7301	1	1	0	-18.1901
43.7301	3	1	0	24.0017
43.7351	1	1	0	-18.1901
43.7351	3	1	0	24.0017
43.7361	1	1	0	8.91451
43.7401	1	1	0	-18.1901
43.7401	3	1	0	24.0017
43.7451	1	1	0	-18.1901
43.7451	3	1	0	24.0017
43.7501	1	1	0	-18.1901
43.7501	3	1	0	24.0017
43.7551	1	1	0	-18.1901
43.7551	3	1	0	24.0017
43.7591	3	1	0	61.6913
43.7601	1	1	0	-18.1901
43.7601	3	1	0	24.0017
43.7651	1	1	0	-18.1901
43.7651	3	1	0	24.0017
43.7701	1	1	0	-18.1901
43.7701	3	1	0	24.0017
43.7751	1	1	0	-18.1901
43.7751	3	1	0	24.0017
43.7801	1	1	0	-18.1901
43.7801	3	1	0	24.0017
43.7851	1	1	0	-18.1901
43.7851	3	1	0	24.0017
43.7901	1	1	0	-18.1901
43.7901	3	1	0	24.0017
43.7951	1	1	0	-18.1901
43.7951	3	1	0	24.0017
43.8001	1	1	0	-18.1901
43.8001	3	1	0	24.0017
43.8051	1	1	0	-18.1901
43.8051	3	1	0	24.0017
43.8101	1	1	0	-18.1901
43.8101	3	1	0	24.0017
43.8151	1	1	0	-18.1901
43.8151	3	1	0	24.0017
43.8161	1	1	0	8.91451
43.8201	1	1	0	-18.1901
43.8201	3	1	0	24.0017
43.8251	1	1	0	-18.1901
43.8251	3	1	0	24.0017
43.8301	1	1	0	-18.1901
43.8301	3	1	0	24.0017
43.8351	1	1	0	-18.1901
43.8351	3	1	0	24.0017
43.8391	3	1	0	61.6913
43.8401	1	1	0	-18.1901
43.8401	3	1	0	24.0017
43.8451	1	1	0	-18.1901
43.8451	3	1	0	24.0017
43.8501	1	1	0	-18.1901
43.8501	3	1	0	24.0017
43.8551	1	1	0	-18.1901
43.8551	3	1	0	24.0017
43.8601	1	1	0	-18.1901
43.8601	3	1	0	24.0017
43.8651	1	1	0	-18.1901
43.8651	3	1	0	24.0017
43.8701	1	1	0	-18.1901
43.8701	3	1	0	24.0017
43.8751	1	1	0	-18.1901
43.8751	3	1	0	24.0017
43.8801	1	1	0	-18.1901
43.8801	3	1	0	24.0017
43.8851	1	1	0	-18.1901
43.8851	3	1	0	24.0017
43.8901	1	1	0	-18.1901
43.8901	3	1	0	24.0017
43.8951	1	1	0	-18.1901
43.8951	3	1	0	24.0017
43.8961	1	1	0	8.91451
43.9001	1	1	0	-18.1901
43.9001	3	1	0	24.0017
43.9051	1	1	0	-18.1901
43.9051	3	1	0	24.0017
43.9101	1	1	0	-18.1901
43.9101	3	1	0	24.0017
43.9151	1	1	0	-18.1901
